Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","560pF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-71.625000,-31.000000,0.000000,bottom
"C2","10uF","CP_Elec_5x4.5",-50.900000,-78.300000,0.000000,bottom
"C3","100pF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-71.000000,-64.675000,-90.000000,bottom
"C4","10uF","CP_Elec_5x4.5",-81.100000,-109.700000,90.000000,bottom
"C5","10uF","CP_Elec_5x4.5",-58.200000,-105.400000,90.000000,bottom
"C6","10uF","CP_Elec_5x4.5",-48.100000,-109.400000,90.000000,bottom
"C7","560pF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-59.875000,-56.500000,180.000000,bottom
"C8","560pF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-54.697810,-49.000000,180.000000,bottom
"C9","100pF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-70.375000,-58.250000,0.000000,bottom
"C10","220pF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-55.000000,-43.125000,90.000000,bottom
"C11","220pF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-57.500000,-43.125000,90.000000,bottom
"C12","560pF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-57.750000,-22.125000,-90.000000,bottom
"C13","220pF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-48.000000,-22.125000,-90.000000,bottom
"C14","220n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-67.818000,-76.341000,90.000000,bottom
"C15","220n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-58.600000,-76.125000,90.000000,bottom
"C16","22uF","CP_Elec_6.3x5.4",-79.300000,-34.500000,0.000000,bottom
"C17","22uF","CP_Elec_6.3x5.4",-79.300000,-26.800000,0.000000,bottom
"C18","220n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-71.625000,-40.750000,0.000000,bottom
"C19","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-66.875000,-95.000000,0.000000,bottom
"C20","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-63.275000,-95.000000,0.000000,bottom
"C21","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-66.375000,-70.800000,0.000000,bottom
"C22","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-62.875000,-70.800000,0.000000,bottom
"C23","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-79.075000,-66.300000,0.000000,bottom
"C24","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-75.625000,-66.300000,0.000000,bottom
"C25","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-66.675000,-31.000000,0.000000,bottom
"C26","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-63.200000,-31.000000,0.000000,bottom
"C27","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-55.125000,-36.750000,0.000000,bottom
"C28","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-51.375000,-36.750000,0.000000,bottom
"D1","D_Small","D_SOD-123",-76.600000,-97.350000,90.000000,bottom
"D2","D_Small","D_SOD-123",-73.400000,-97.350000,-90.000000,bottom
"D3","5V","D_SOD-123",-82.383365,-45.424999,90.000000,bottom
"D4","LM4040DBZ-5","SOT-23",-71.374000,-76.708000,0.000000,bottom
"D5","MB2S","TO-269AA",-80.000000,-19.200000,0.000000,bottom
"D6","LM4040DBZ-5","SOT-23",-72.311500,-43.622000,0.000000,bottom
"F1","Polyfuse","Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder",-68.250000,-18.487500,90.000000,bottom
"F2","Polyfuse","Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder",-71.400000,-18.487500,90.000000,bottom
"PWR_IN1","EURO_PWR_2x5","PinHeader_2x05_P2.54mm_Vertical",-71.840000,-11.400000,-90.000000,bottom
"R1","100k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-53.800000,-91.525000,90.000000,bottom
"R2","100k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-71.000000,-91.525000,90.000000,bottom
"R3","100k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-71.000000,-84.125000,-90.000000,bottom
"R4","100k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-56.200000,-91.525000,-90.000000,bottom
"R5","100k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-73.600000,-91.525000,-90.000000,bottom
"R6","100k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-73.600000,-84.125000,90.000000,bottom
"R7","100k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-58.800000,-91.525000,90.000000,bottom
"R9","100k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-78.800000,-91.525000,90.000000,bottom
"R10","100k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-82.400000,-40.125000,90.000000,bottom
"R12","100k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-71.625000,-35.750000,180.000000,bottom
"R13","100k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-78.800000,-84.125000,90.000000,bottom
"R14","15K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-81.200000,-91.525000,90.000000,bottom
"R15","470R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-71.625000,-33.250000,0.000000,bottom
"R16","100k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-81.200000,-84.125000,-90.000000,bottom
"R17","100k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-57.525000,-59.600000,180.000000,bottom
"R18","22k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-56.000000,-84.125000,90.000000,bottom
"R19","47k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-58.600000,-84.125000,-90.000000,bottom
"R20","100k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-82.400000,-50.875000,90.000000,bottom
"R21","10k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-47.500000,-59.700000,-90.000000,bottom
"R22","47k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-47.500000,-56.175000,90.000000,bottom
"R23","1K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-81.475000,-103.400000,0.000000,bottom
"R24","1K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-64.125000,-102.200000,180.000000,bottom
"R25","1K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-47.875000,-103.000000,180.000000,bottom
"R26","330K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-47.500000,-51.875000,90.000000,bottom
"R27","33k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-59.875000,-49.000000,180.000000,bottom
"R28","33k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-54.625000,-56.500000,180.000000,bottom
"R29","33k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-59.875000,-51.500000,0.000000,bottom
"R30","470R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-59.875000,-54.000000,180.000000,bottom
"R31","33k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-54.625000,-54.000000,0.000000,bottom
"R32","470R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-54.625000,-51.500000,180.000000,bottom
"R33","33k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-70.375000,-60.750000,0.000000,bottom
"R34","33k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-60.250000,-22.125000,-90.000000,bottom
"R35","33k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-70.375000,-55.500000,180.000000,bottom
"R36","33k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-70.375000,-53.000000,0.000000,bottom
"R37","100K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-82.600000,-56.525000,90.000000,bottom
"R38","33k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-52.750000,-22.125000,-90.000000,bottom
"R39","470R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-55.250000,-22.125000,-90.000000,bottom
"R40","15K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-70.375000,-50.500000,180.000000,bottom
"R41","1.5K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-70.375000,-47.750000,180.000000,bottom
"R42","100K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-82.600000,-63.675000,90.000000,bottom
"R43","470K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-50.250000,-22.125000,-90.000000,bottom
"R44","6.8K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-66.200000,-76.175000,-90.000000,bottom
"R45","100K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-63.700000,-76.175000,-90.000000,bottom
"R46","3.3K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-61.200000,-76.125000,90.000000,bottom
"R47","6.8K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-71.625000,-38.150000,180.000000,bottom
"R48","100K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-78.000000,-79.725000,90.000000,bottom
"R49","100K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-59.900000,-80.375000,-90.000000,bottom
"RES_ADJ1","250K","Potentiometer_Bourns_3296W_Vertical",-54.000000,-66.200000,0.000000,bottom
"RV_SAW_OCTAVE1","100k","Potentiometer_Bourns_3296W_Vertical",-55.500000,-116.500000,180.000000,bottom
"U1","TL074","SOIC-14_3.9x8.7mm_P1.27mm",-64.900000,-87.900000,180.000000,bottom
"U2","TL074","SOIC-14_3.9x8.7mm_P1.27mm",-64.600000,-64.900000,180.000000,bottom
"U3","V2164","SOIC-16_3.9x9.9mm_P1.27mm",-64.700000,-37.800000,180.000000,bottom
"U4","TL074","SOIC-14_3.9x8.7mm_P1.27mm",-77.400000,-59.700000,180.000000,bottom
"U5","TL074","SOIC-14_3.9x8.7mm_P1.27mm",-53.250000,-30.500000,180.000000,bottom
"V_OCT_SCALE1","5K","Potentiometer_Bourns_3296W_Vertical",-68.900000,-116.600000,180.000000,bottom
"AUDIO_IN1","PJ301M-12","PJ301M-12",50.000000,-93.000000,0.000000,top
"BP_OUT1","PJ301M-12","PJ301M-12",65.000000,-110.000000,0.000000,top
"CUTOFF1","100k","Alpha9mmPot",69.500000,-20.000000,0.000000,top
"FM_ATTV1","100k","Alpha9mmPot",78.000000,-69.000000,0.000000,top
"FM_IN1","PJ301M-12","PJ301M-12",70.000000,-93.000000,0.000000,top
"HP_OUT1","PJ301M-12","PJ301M-12",78.000000,-110.000000,0.000000,top
"INPUT_GAIN1","100k","Alpha9mmPot",51.000000,-75.000000,0.000000,top
"LP_OUT1","PJ301M-12","PJ301M-12",51.000000,-110.000000,0.000000,top
"RESONANCE1","100k","Alpha9mmPot",53.500000,-39.100000,0.000000,top
"RES_ATTV1","100k","Alpha9mmPot",64.500000,-72.000000,0.000000,top
"RES_CV1","PJ301M-12","PJ301M-12",60.000000,-93.000000,0.000000,top
"SW_DRIVE1","SW_SPDT","PinHeader_1x03_P2.54mm_Vertical",50.500000,-55.460000,0.000000,top
"SW_RES_DIST1","SW_SPDT","PinHeader_1x03_P2.54mm_Vertical",78.500000,-44.460000,0.000000,top
"SW_WOBBLE1","SW_SPDT","PinHeader_1x03_P2.54mm_Vertical",64.500000,-50.460000,0.000000,top
"V_OCT_IN1","PJ301M-12","PJ301M-12",80.000000,-93.000000,0.000000,top
